,0
Bankrupt?,0.0
 ROA(C) before interest and depreciation before interest,0.0
 ROA(A) before interest and % after tax,0.0
 ROA(B) before interest and depreciation after tax,0.0
 Operating Gross Margin,0.0
 Realized Sales Gross Margin,0.0
 Operating Profit Rate,0.0
 Pre-tax net Interest Rate,0.0
 After-tax net Interest Rate,0.0
 Non-industry income and expenditure/revenue,0.0
 Continuous interest rate (after tax),0.0
 Operating Expense Rate,0.0
 Research and development expense rate,0.0
 Cash flow rate,0.0
 Interest-bearing debt interest rate,0.0
 Tax rate (A),0.0
 Net Value Per Share (B),0.0
 Net Value Per Share (A),0.0
 Net Value Per Share (C),0.0
 Persistent EPS in the Last Four Seasons,0.0
 Cash Flow Per Share,0.0
 Revenue Per Share (Yuan ¥),0.0
 Operating Profit Per Share (Yuan ¥),0.0
 Per Share Net profit before tax (Yuan ¥),0.0
 Realized Sales Gross Profit Growth Rate,0.0
 Operating Profit Growth Rate,0.0
 After-tax Net Profit Growth Rate,0.0
 Regular Net Profit Growth Rate,0.0
 Continuous Net Profit Growth Rate,0.0
 Total Asset Growth Rate,0.0
 Net Value Growth Rate,0.0
 Total Asset Return Growth Rate Ratio,0.0
 Cash Reinvestment %,0.0
 Current Ratio,0.0
 Quick Ratio,0.0
 Interest Expense Ratio,0.0
 Total debt/Total net worth,0.0
 Debt ratio %,0.0
 Net worth/Assets,0.0
 Long-term fund suitability ratio (A),0.0
 Borrowing dependency,0.0
 Contingent liabilities/Net worth,0.0
 Operating profit/Paid-in capital,0.0
 Net profit before tax/Paid-in capital,0.0
 Inventory and accounts receivable/Net value,0.0
 Total Asset Turnover,0.0
 Accounts Receivable Turnover,0.0
 Average Collection Days,0.0
 Inventory Turnover Rate (times),0.0
 Fixed Assets Turnover Frequency,0.0
 Net Worth Turnover Rate (times),0.0
 Revenue per person,0.0
 Operating profit per person,0.0
 Allocation rate per person,0.0
 Working Capital to Total Assets,0.0
 Quick Assets/Total Assets,0.0
 Current Assets/Total Assets,0.0
 Cash/Total Assets,0.0
 Quick Assets/Current Liability,0.0
 Cash/Current Liability,0.0
 Current Liability to Assets,0.0
 Operating Funds to Liability,0.0
 Inventory/Working Capital,0.0
 Inventory/Current Liability,0.0
 Current Liabilities/Liability,0.0
 Working Capital/Equity,0.0
 Current Liabilities/Equity,0.0
 Long-term Liability to Current Assets,0.0
 Retained Earnings to Total Assets,0.0
 Total income/Total expense,0.0
 Total expense/Assets,0.0
 Current Asset Turnover Rate,0.0
 Quick Asset Turnover Rate,0.0
 Working capitcal Turnover Rate,0.0
 Cash Turnover Rate,0.0
 Cash Flow to Sales,0.0
 Fixed Assets to Assets,0.0
 Current Liability to Liability,0.0
 Current Liability to Equity,0.0
 Equity to Long-term Liability,0.0
 Cash Flow to Total Assets,0.0
 Cash Flow to Liability,0.0
 CFO to Assets,0.0
 Cash Flow to Equity,0.0
 Current Liability to Current Assets,0.0
 Liability-Assets Flag,0.0
 Net Income to Total Assets,0.0
 Total assets to GNP price,0.0
 No-credit Interval,0.0
 Gross Profit to Sales,0.0
 Net Income to Stockholder's Equity,0.0
 Liability to Equity,0.0
 Degree of Financial Leverage (DFL),0.0
 Interest Coverage Ratio (Interest expense to EBIT),0.0
 Net Income Flag,0.0
 Equity to Liability,0.0
